Index	Tier	Category	Feature Name	Description	Normalization	Clinical Definition / Extraction Logic	Source Codes / Systems
0	Patient	Demographics	age_norm	Patient age at start of measurement year	age / 100	Age = measurement_year_start - date_of_birth. Use member enrollment file DOB.	Enrollment file, MBR_DOB field
1	Patient	Demographics	sex_male	Male sex indicator	binary (1.0 if M)	Sex from enrollment demographics. M=1, F=0.	Enrollment file, MBR_SEX = 'M'
2	Patient	Demographics	sex_female	Female sex indicator	binary (1.0 if F)	Sex from enrollment demographics. M=0, F=1.	Enrollment file, MBR_SEX = 'F'
3	Patient	Demographics	dual_eligible	Medicare-Medicaid dual eligible	binary	Member has both Medicare and Medicaid coverage. Flag from CMS Monthly Membership Report (MMR).	MMR DUAL_STUS_CD != '00'
4	Patient	Demographics	lis_status	Low-Income Subsidy status	binary	Part D Low-Income Subsidy recipient. Impacts cost-sharing for medication adherence measures.	MMR LIS_FLAG = 'Y'
5	Patient	Demographics	snp_flag	Special Needs Plan member	binary	Enrolled in a Special Needs Plan (C-SNP, D-SNP, or I-SNP).	Enrollment file, PLAN_TYPE contains 'SNP'
6	Patient	Clinical Vitals	bp_systolic_norm	Most recent systolic blood pressure	bp / 200	Last recorded systolic BP. Pull from most recent vitals encounter. ICD-10 screening: Z13.6.	CPT: 99213-99215 (office visit with vitals), LOINC: 8480-6
7	Patient	Clinical Vitals	bp_diastolic_norm	Most recent diastolic blood pressure	bp / 120	Last recorded diastolic BP from same encounter as systolic.	LOINC: 8462-4
8	Patient	Clinical Vitals	a1c_norm	Most recent hemoglobin A1C value	a1c / 14	Last HbA1c lab result. Look back 12 months. <8.0 = controlled for HBD measure.	CPT: 83036, LOINC: 4548-4, 17856-6
9	Patient	Clinical Vitals	bmi_norm	Body mass index	bmi / 55	Last recorded BMI from vitals or calculated from height/weight.	LOINC: 39156-5
10	Patient	Clinical Vitals	ckd_stage_norm	Chronic kidney disease stage (0-5)	stage / 5	CKD stage from problem list or eGFR lab. Stage 0=no CKD.	ICD-10: N18.1-N18.6, LOINC eGFR: 48642-3
11	Patient	Clinical Vitals	phq9_norm	PHQ-9 depression screening score	score / 27	Most recent PHQ-9 score. 0-27 scale. >=10 indicates moderate depression.	LOINC: 44249-1, CPT: 96127
12	Patient	Conditions	cond_diabetes	Has diabetes diagnosis	binary	Active diagnosis on problem list or 2+ claims with DM ICD-10 in 24 months.	ICD-10: E10.x, E11.x, E13.x
13	Patient	Conditions	cond_hypertension	Has hypertension diagnosis	binary	Active diagnosis. Essential hypertension or hypertensive heart disease.	ICD-10: I10, I11.x, I12.x, I13.x
