Action ID	Measure	Measure Description	CMS Weight	Category	Channel	Variant	Variant Description	Hypothesis: Why This Closes the Gap
0	NO_ACTION	No Action	0	-	none	none	Take no action	Patient may need rest from outreach; contact fatigue reduces future engagement. Strategic silence preserves budget and avoids opt-outs.
1	COL	Colorectal Cancer Screening	1	Screenings	sms	scheduling_link	SMS with scheduling link for colonoscopy	Direct scheduling removes friction — patient can book immediately from phone. SMS has highest open rate for appointment actions.
2	COL	Colorectal Cancer Screening	1	Screenings	sms	incentive_offer	SMS with $50 incentive offer for colonoscopy	Financial incentive overcomes cost/inconvenience barrier. Colonoscopy prep is burdensome; reward offsets effort.
3	COL	Colorectal Cancer Screening	1	Screenings	email	educational	Email with educational content about colorectal screening	Education addresses fear/ignorance barriers. Patients unaware of FIT/Cologuard alternatives may avoid colonoscopy.
4	COL	Colorectal Cancer Screening	1	Screenings	email	scheduling_link	Email with embedded scheduler for colonoscopy	Rich HTML email allows map of nearby facilities + calendar picker. Better for patients who research before acting.
5	COL	Colorectal Cancer Screening	1	Screenings	portal	scheduling_link	Portal in-app scheduler for colonoscopy	Portal users are digitally engaged; in-app scheduling captures them in a healthcare context.
6	COL	Colorectal Cancer Screening	1	Screenings	app	push_reminder	App push reminder for colonoscopy	Push notification catches patient at high-attention moment. Short, actionable. Best for app-engaged patients.
7	COL	Colorectal Cancer Screening	1	Screenings	ivr	appointment_reminder	IVR automated call for colonoscopy	Reaches patients without smartphones or who prefer phone. Automated call with press-1-to-schedule.
8	BCS	Breast Cancer Screening	3	Screenings	sms	scheduling_link	SMS with scheduling link for mammogram	Direct scheduling link removes friction. Mammogram is quick; main barrier is scheduling.
9	BCS	Breast Cancer Screening	3	Screenings	sms	incentive_offer	SMS with $50 incentive offer for mammogram	Incentive for triple-weighted measure. High ROI: $50 cost vs STARS impact of 3x weight.
10	BCS	Breast Cancer Screening	3	Screenings	email	educational	Email with educational content about breast cancer screening	Addresses anxiety about mammogram pain/results. Educational framing reduces avoidance.
11	BCS	Breast Cancer Screening	3	Screenings	email	scheduling_link	Email with embedded scheduler for mammogram	Rich email with facility finder + mobile mammogram van schedule if available.
